Rules_ID	Struts Jars
IC_STJR_001	struts.jar
IC_STJR_002	jdbc2_0-stdext.jar
IC_STJR_003	commons-beanutils.jar
IC_STJR_004	commons-collections.jar
IC_STJR_005	commons-digester.jar
IC_STJR_006	commons-fileupload.jar
IC_STJR_007	commons-lang.jar
IC_STJR_008	commons-logging.jar
IC_STJR_009	commons-validator.jar
IC_STJR_010	jakarta-oro.jar
IC_STJR_011	jstl.jar
IC_STJR_012	standard.jar
IC_STJR_013	struts-el.jar
IC_STJR_014	struts-legacy.jar
IC_STJR_015	tiles.jar
IC_STJR_016	commons-dbcp.jar
IC_STJR_017	commons-services.jar
IC_STJR_018	commons-pool.jar
IC_STJR_019	commons-resources.jar
IC_STJR_020	antlr.jar
IC_STJR_021	struts-mailreader.jar
IC_STJR_022	struts-core-1.3.10.jar
IC_STJR_023	antlr-2.7.2.jar
IC_STJR_024	commons-beanutils-1.8.0.jar
IC_STJR_025	commons-logging-1.0.4.jar
IC_STJR_026	commons-chain-1.2.jar
IC_STJR_027	commons-digester-1.8.jar
IC_STJR_028	commons-validator-1.3.1.jar
IC_STJR_029	oro-2.0.8.jar
IC_STJR_030	struts-extras-1.3.10.jar
IC_STJR_031	struts-el-1.3.10.jar
IC_STJR_032	jstl-1.0.2.jar
IC_STJR_033	struts-taglib-1.3.10.jar
IC_STJR_034	standard-1.0.6.jar
IC_STJR_035	struts-faces-1.3.10.jar
IC_STJR_036	struts-tiles-1.3.10.jar
IC_STJR_037	struts-scripting-1.3.10.jar
IC_STJR_038	bsf-2.3.0.jar
IC_STJR_039	struts-mailreader-dao-1.3.10.jar
IC_STJR_040	commons-fileupload-1.1.1.jar
IC_STJR_041	commons-io-1.1.jar
IC_STJR_042	autoexport-0.14-dev.jar
IC_STJR_043	snippet-r280.jar
IC_STJR_044	xwork - jar.jar
IC_STJR_045	xwork-jar.jar
IC_STJR_046	jsps.jar
IC_STJR_047	struts2-cdi-plugin-2.3.20.jar
IC_STJR_048	struts2-core-2.3.20.jar
IC_STJR_049	xwork-core-2.3.20.jar
IC_STJR_050	commons-lang3-3.2.jar
IC_STJR_051	ognl-3.0.6.jar
IC_STJR_052	javassist-3.11.0.GA.jar
IC_STJR_053	asm-5.0.2.jar
IC_STJR_054	asm-commons-5.0.2.jar
IC_STJR_055	asm-tree-5.0.2.jar
IC_STJR_056	freemarker-2.3.19.jar
IC_STJR_057	commons-fileupload-1.3.1.jar
IC_STJR_058	commons-io-2.2.jar
IC_STJR_059	struts2-codebehind-plugin-2.3.20.jar
IC_STJR_060	struts2-convention-plugin-2.3.20.jar
IC_STJR_061	struts2-javatemplates-plugin-2.3.20.jar
IC_STJR_062	struts2-config-browser-plugin-2.3.20.jar
IC_STJR_063	struts2-dojo-plugin-2.3.20.jar
IC_STJR_064	struts2-dwr-plugin-2.3.20.jar
IC_STJR_065	dwr-1.1.1.jar
IC_STJR_066	commons-logging-1.1.3.jar
IC_STJR_067	struts2-jasperreports-plugin-2.3.20.jar
IC_STJR_068	struts2-jfreechart-plugin-2.3.20.jar
IC_STJR_069	struts2-jsf-plugin-2.3.20.jar
IC_STJR_070	struts2-junit-plugin-2.3.20.jar
IC_STJR_071	spring-test-3.0.5.RELEASE.jar
IC_STJR_072	spring-core-3.0.5.RELEASE.jar
IC_STJR_073	spring-asm-3.0.5.RELEASE.jar
IC_STJR_074	spring-context-3.0.5.RELEASE.jar
IC_STJR_075	spring-aop-3.0.5.RELEASE.jar
IC_STJR_076	aopalliance-1.0.jar
IC_STJR_077	spring-beans-3.0.5.RELEASE.jar
IC_STJR_078	spring-expression-3.0.5.RELEASE.jar
IC_STJR_079	struts2-pell-multipart-plugin-2.3.20.jar
IC_STJR_080	struts2-plexus-plugin-2.3.20.jar
IC_STJR_081	plexus-container-default-1.0-alpha-10.jar
IC_STJR_082	plexus-utils-1.2.jar
IC_STJR_083	classworlds-1.1.jar
IC_STJR_084	struts2-portlet-plugin-2.3.20.jar
IC_STJR_085	struts2-rest-plugin-2.3.20.jar
IC_STJR_086	xstream-1.4.2.jar
IC_STJR_087	xmlpull-1.1.3.1.jar
IC_STJR_088	xpp3_min-1.1.4c.jar
IC_STJR_089	json-lib-2.3-jdk15.jar
IC_STJR_090	commons-collections-3.1.jar
IC_STJR_091	commons-lang-2.4.jar
IC_STJR_092	ezmorph-1.0.6.jar
IC_STJR_093	jackson-core-asl-1.9.2.jar
IC_STJR_094	jackson-mapper-asl-1.9.2.jar
IC_STJR_095	struts2-sitegraph-plugin-2.3.20.jar
IC_STJR_096	struts2-sitemesh-plugin-2.3.20.jar
IC_STJR_097	sitemesh-2.4.2.jar
IC_STJR_098	struts2-spring-plugin-2.3.20.jar
IC_STJR_099	spring-web-3.0.5.RELEASE.jar
IC_STJR_100	struts2-struts1-plugin-2.3.20.jar
IC_STJR_101	commons-digester-2.0.jar
IC_STJR_102	struts2-testng-plugin-2.3.20.jar
IC_STJR_103	struts2-tiles-plugin-2.3.20.jar
IC_STJR_104	tiles-core-2.0.6.jar
IC_STJR_105	tiles-api-2.0.6.jar
IC_STJR_106	commons-logging-api-1.1.jar
IC_STJR_107	tiles-jsp-2.0.6.jar
IC_STJR_108	struts2-tiles3-plugin-2.3.20.jar
IC_STJR_109	tiles-extras-3.0.1.jar
IC_STJR_110	tiles-request-servlet-wildcard-1.0.1.jar
IC_STJR_111	tiles-request-servlet-1.0.1.jar
IC_STJR_112	tiles-request-api-1.0.1.jar
IC_STJR_113	tiles-request-mustache-1.0.1.jar
IC_STJR_114	core-0.6.2.jar
IC_STJR_115	guava-r09.jar
IC_STJR_116	builder-0.6.2.jar
IC_STJR_117	tiles-freemarker-3.0.1.jar
IC_STJR_118	tiles-servlet-3.0.1.jar
IC_STJR_119	tiles-template-3.0.1.jar
IC_STJR_120	tiles-autotag-core-runtime-1.1.0.jar
IC_STJR_121	tiles-request-freemarker-1.0.1.jar
IC_STJR_122	tiles-velocity-3.0.1.jar
IC_STJR_123	velocity-tools-1.3.jar
IC_STJR_124	tiles-request-velocity-1.0.1.jar
IC_STJR_125	tiles-el-3.0.1.jar
IC_STJR_126	tiles-mvel-3.0.1.jar
IC_STJR_127	mvel2-2.0.11.jar
IC_STJR_128	tiles-ognl-3.0.1.jar
IC_STJR_129	tiles-compat-3.0.1.jar
IC_STJR_130	struts2-oval-plugin-2.3.20.jar
IC_STJR_131	oval-1.31.jar
IC_STJR_132	struts2-json-plugin-2.3.20.jar
IC_STJR_133	struts2-embeddedjsp-plugin-2.3.20.jar
IC_STJR_134	juli-6.0.18.jar
IC_STJR_135	struts2-gxp-plugin-2.3.20.jar
IC_STJR_136	google-gxp-0.2.4-beta.jar
IC_STJR_137	google-collections-1.0.jar
IC_STJR_138	struts2-osgi-plugin-2.3.20.jar
IC_STJR_139	org.apache.felix.main-4.0.3.jar
IC_STJR_140	org.apache.felix.framework-4.0.3.jar
IC_STJR_141	org.apache.felix.shell-1.4.3.jar
IC_STJR_142	org.osgi.core-4.1.0.jar
IC_STJR_143	org.osgi.compendium-4.0.0.jar
IC_STJR_144	org.apache.felix.shell.tui-1.4.1.jar
IC_STJR_145	velocity-1.6.4.jar
