IC_RSRVDEP_030	com.fasterxml.jackson.annotation.JsonTypeInfo.None	com.fasterxml.jackson.annotation.JsonTypeInfo.	None	Since 2.5, use Void instead.
IC_JDDC_5026	java.io.LineNumberInputStream	java.io	LineNumberInputStream	"This class incorrectly assumes that bytes adequately represent characters. As of JDK 1.1, the preferred way to operate on character streams is via the new character-stream classes, which include a class for counting line numbers."	
IC_JDDC_5033	java.io.StringBufferInputStream	java.io	StringBufferInputStream	"This class does not properly convert characters into bytes. As of JDK 1.1, the preferred way to create a stream from a string is via the StringReader class."	
IC_JDDM_5311	java.io.DataInputStream.readLine()	java.io.DataInputStream	readLine()	"This method does not properly convert bytes to characters. As of JDK 1.1, the preferred way to read lines of text is via the BufferedReader.readLine() method. Programs that use the DataInputStream class to read lines can be converted to use the BufferedReader class by replacing code of the form
IC_JDDM_5312	java.io.ObjectInputStream.readLine()	java.io.ObjectInputStream	readLine()	This method does not properly convert bytes to characters. see DataInputStream for the details and alternatives.	
IC_JDDM_5380	java.io.ByteArrayOutputStream.toString(int)	java.io.ByteArrayOutputStream	toString(int)	"This method does not properly convert bytes into characters. As of JDK 1.1, the preferred way to do this is via the toString(String enc) method, which takes an encoding-name argument, or the toString() method, which uses the platform's default character encoding."	
IC_JDDM_5385	java.io.ObjectOutputStream.PutField.write(ObjectOutput)	java.io.ObjectOutputStream.PutField	write(ObjectOutput)	"This method does not write the values contained by this PutField object in a proper format, and may result in corruption of the serialization stream. The correct way to write PutField data is by calling the ObjectOutputStream.writeFields() method."	
IC_JDDM_5400	java.io.StreamTokenizer(InputStream)	java.io	StreamTokenizer(InputStream)	"As of JDK version 1.1, the preferred way to tokenize an input stream is to convert it into a character stream, for example
IC_JDDM_6402	java.io.File.toURL()	java.io.File	toURL()	"This method does not automatically escape characters that are illegal in URLs. It is recommended that new code convert an abstract pathname into a URL by first converting it into a URI, via the toURI method, and then converting the URI into a URL via the URI.toURL method."	
IC_JDDI_9136	java.io.LineNumberInputStream	java.io	LineNumberInputStream	"This class incorrectly assumes that bytes adequately represent characters. As of JDK 1.1, the preferred way to operate on character streams is via the new character-stream classes, which include a class for counting line numbers."	
IC_JDDC_9160	java.io.StringBufferInputStream	java.io	StringBufferInputStream	"This class does not properly convert characters into bytes. As of JDK 1.1, the preferred way to create a stream from a string is via the StringReader class."	
IC_JDDM_9372	java.io.FileInputStream.finalize()	java.io.FileInputStream	finalize()	"The finalize method has been deprecated. Subclasses that override finalize in order to perform cleanup should be modified to use alternative cleanup mechanisms and to remove the overriding finalize method. When overriding the finalize method, its implementation must explicitly ensure that super.finalize() is invoked as described in Object.finalize(). See the specification for Object.finalize() for further information about migration options."	
IC_JDDM_9373	java.io.FileOutputStream.finalize()	java.io.FileOutputStream	finalize()	"The finalize method has been deprecated. Subclasses that override finalize in order to perform cleanup should be modified to use alternative cleanup mechanisms and to remove the overriding finalize method. When overriding the finalize method, its implementation must explicitly ensure that super.finalize() is invoked as described in Object.finalize(). See the specification for Object.finalize() for further information about migration options."	
IC_JDDM_9598	java.io.DataInputStream.readLine()	java.io.DataInputStream	readLine()	"This method does not properly convert bytes to characters. As of JDK 1.1, the preferred way to read lines of text is via the BufferedReader.readLine() method. Programs that use the DataInputStream class to read lines can be converted to use the BufferedReader class by replacing code of the form
IC_JDDM_9599	java.io.ObjectInputStream.readLine()	java.io.ObjectInputStream	readLine()	This method does not properly convert bytes to characters. see DataInputStream for the details and alternatives.	
IC_JDDM_9693	java.io.ByteArrayOutputStream.toString(int)	java.io.ByteArrayOutputStream	toString(int)	"This method does not properly convert bytes into characters. As of JDK 1.1, the preferred way to do this is via the toString(String enc) method, which takes an encoding-name argument, or the toString() method, which uses the platform's default character encoding."	
